epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
22,12890.6,0.76565,1.03917,0.51665,0.89661,0,0.95511,0.94538,0.97021,0.7651,0.94043,0.94531,0.96331,0.74771,0.68098,1.05502,0.48689,0.87205,0,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684,0.0275052,0.0091684
23,13415.6,0.76537,1.02734,0.51335,0.89678,0,0.96562,0.9416,0.96658,0.77973,0.95152,0.93484,0.96355,0.74942,0.67565,1.10848,0.48366,0.87019,0,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288,0.0273864,0.0091288
24,13939.6,0.7558,1.01673,0.49871,0.89359,0,0.9747,0.93973,0.96559,0.77216,0.96575,0.93117,0.95527,0.73947,0.67985,1.17145,0.47794,0.8857,0,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892,0.0272676,0.0090892
25,14463.2,0.75127,1.00533,0.49631,0.89283,0,0.96867,0.93656,0.96355,0.77947,0.96294,0.93098,0.95941,0.73806,0.67186,1.13296,0.49491,0.86901,0,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496,0.0271488,0.0090496
26,14982.7,0.75348,1.01001,0.50122,0.89397,0,0.95098,0.94988,0.95799,0.75544,0.95114,0.95034,0.95832,0.73694,0.70265,1.05284,0.48264,0.87679,0,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
27,15511.2,0.74212,0.97842,0.49493,0.89025,0,0.95927,0.944,0.96268,0.77503,0.95534,0.94016,0.95804,0.75267,0.64943,1.01987,0.49798,0.8682,0,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704,0.0269112,0.0089704
28,16074.9,0.7396,0.98559,0.49151,0.88851,0,0.97401,0.93671,0.96463,0.76931,0.96538,0.92867,0.95339,0.7311,0.68009,1.17606,0.48983,0.87044,0,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308,0.0267924,0.0089308
29,16654.2,0.73493,0.98332,0.48476,0.88815,0,0.96135,0.94196,0.96948,0.77785,0.95327,0.93434,0.96461,0.72959,0.6608,1.12393,0.48289,0.87068,0,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912,0.0266736,0.0088912
30,17221.1,0.7404,0.99612,0.48438,0.88811,0,0.96606,0.95994,0.97176,0.76939,0.96701,0.96127,0.97042,0.75869,0.68057,1.06679,0.47177,0.87323,0,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516,0.0265548,0.0088516
31,17799.4,0.72638,0.97046,0.47733,0.8858,0,0.96444,0.94389,0.97482,0.77327,0.95076,0.93071,0.9647,0.76791,0.68139,1.07519,0.45693,0.87005,0,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
32,18372.3,0.72386,0.96263,0.47497,0.88413,0,0.95017,0.93835,0.96527,0.77253,0.94867,0.93717,0.96094,0.75567,0.6758,1.13721,0.46232,0.87606,0,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724,0.0263172,0.0087724
33,18942.5,0.71074,0.95081,0.46822,0.88447,0,0.95512,0.95964,0.96535,0.77504,0.94756,0.9521,0.95262,0.67728,0.65473,0.98924,0.50115,0.86873,0,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328,0.0261984,0.0087328
34,19527.2,0.71598,0.96899,0.467,0.88066,0,0.96286,0.95168,0.96989,0.77545,0.95982,0.9487,0.96682,0.76485,0.66152,1.00302,0.46135,0.87569,0,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932,0.0260796,0.0086932
35,20093.7,0.71013,0.96228,0.46292,0.87853,0,0.97829,0.93651,0.96803,0.78639,0.97241,0.93101,0.9645,0.75768,0.65192,1.07691,0.45685,0.86704,0,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536,0.0259608,0.0086536
36,20654.5,0.70921,0.94625,0.46011,0.87675,0,0.95694,0.93306,0.95874,0.77109,0.94143,0.91986,0.94619,0.74433,0.66504,1.08811,0.48027,0.87177,0,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
37,21243.7,0.7081,0.9443,0.45976,0.87854,0,0.96048,0.93879,0.96573,0.77102,0.95275,0.92125,0.95388,0.75767,0.6705,1.08089,0.45289,0.8727,0,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744,0.0257232,0.0085744
38,21822.3,0.69827,0.92704,0.45434,0.87871,0,0.97223,0.94401,0.96796,0.77397,0.96112,0.93205,0.95696,0.75059,0.6518,1.00729,0.45444,0.86578,0,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348,0.0256044,0.0085348
39,22418.8,0.69811,0.95901,0.45432,0.87692,0,0.9672,0.94559,0.96973,0.79414,0.96718,0.93633,0.96687,0.75468,0.63102,1.06378,0.43333,0.86268,0,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952,0.0254856,0.0084952
40,23001.6,0.70038,0.91749,0.45221,0.87882,0,0.96983,0.9393,0.96797,0.79092,0.96484,0.93458,0.96285,0.75975,0.62793,1.00393,0.4492,0.86186,0,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556,0.0253668,0.0084556
41,23571.9,0.68907,0.92301,0.44779,0.87384,0,0.97342,0.94827,0.97118,0.77983,0.95983,0.93513,0.9627,0.76548,0.66573,1.06095,0.44263,0.86633,0,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
42,24138.6,0.692,0.93034,0.44849,0.87418,0,0.97298,0.94526,0.96742,0.7771,0.96112,0.93373,0.95159,0.75066,0.6587,1.08461,0.44597,0.86745,0,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764,0.0251292,0.0083764
43,24702.5,0.68984,0.94181,0.44589,0.87481,0,0.97141,0.95605,0.97493,0.80087,0.97015,0.95481,0.97237,0.77163,0.6293,1.0196,0.43257,0.86244,0,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368,0.0250104,0.0083368
44,25269.1,0.68248,0.91202,0.43893,0.87035,0,0.96055,0.95152,0.96859,0.79369,0.97709,0.92137,0.96228,0.75758,0.62075,1.06762,0.42588,0.86511,0,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972,0.0248916,0.0082972
45,25840.2,0.68358,0.91899,0.43865,0.87211,0,0.97294,0.95403,0.96795,0.78444,0.96813,0.94896,0.96526,0.7537,0.65161,1.0514,0.4342,0.86755,0,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576,0.0247728,0.0082576
46,26426.9,0.67701,0.91342,0.433,0.86849,0,0.96526,0.95322,0.96976,0.78307,0.96178,0.9501,0.96438,0.76068,0.63079,1.07494,0.42308,0.86173,0,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
47,27016.3,0.68185,0.91519,0.43365,0.87349,0,0.9699,0.94257,0.97062,0.79021,0.95654,0.93022,0.96003,0.76524,0.62674,1.02812,0.4295,0.86233,0,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784,0.0245352,0.0081784
